Model,k,chi2,dof,chi2_red,aic,bic
M4 + air transmission,3,67.92232280420365,27,2.515641585340876,73.92232280420365,78.1259149491901
M0 constant,1,357.8580238405362,16,22.366126490033512,359.8580238405362,360.6912371845924
M3 + dead time,2,990.1455780955248,28,35.36234207484017,994.1455780955248,996.9479728588491
M2 + solid angle,2,1035.8056796198287,28,36.99305998642245,1039.8056796198287,1042.608074383153
M1 + offset,2,1065.6844572057043,28,38.06015918591801,1069.6844572057043,1072.4868519690287
