in s,C1 in V
-6.11360E-06,2.3041E-01
-6.11320E-06,2.3236E-01
-6.11280E-06,2.3139E-01
-6.11240E-06,2.3041E-01
-6.11200E-06,2.3139E-01
-6.11160E-06,2.3334E-01
-6.11120E-06,2.3139E-01
-6.11080E-06,2.3041E-01
-6.11040E-06,2.3041E-01
-6.11000E-06,2.3236E-01
-6.10960E-06,2.3236E-01
-6.10920E-06,2.3236E-01
-6.10880E-06,2.3432E-01
-6.10840E-06,2.3432E-01
-6.10800E-06,2.3432E-01
-6.10760E-06,2.3725E-01
-6.10720E-06,2.3432E-01
-6.10680E-06,2.3432E-01
-6.10640E-06,2.3432E-01
-6.10600E-06,2.3432E-01
-6.10560E-06,2.3236E-01
-6.10520E-06,2.3041E-01
-6.10480E-06,2.3432E-01
-6.10440E-06,2.3432E-01
-6.10400E-06,2.3432E-01
-6.10360E-06,2.3139E-01
-6.10320E-06,2.3432E-01
-6.10280E-06,2.3725E-01
-6.10240E-06,2.3139E-01
-6.10200E-06,2.3529E-01
-6.10160E-06,2.3236E-01
-6.10120E-06,2.3334E-01
-6.10080E-06,2.3627E-01
-6.10040E-06,2.3334E-01
-6.10000E-06,2.3139E-01
-6.09960E-06,2.3334E-01
-6.09920E-06,2.3334E-01
-6.09880E-06,2.3627E-01
-6.09840E-06,2.3041E-01
-6.09800E-06,2.3334E-01
-6.09760E-06,2.3432E-01
-6.09720E-06,2.3432E-01
-6.09680E-06,2.3236E-01
-6.09640E-06,2.3236E-01
-6.09600E-06,2.3139E-01
-6.09560E-06,2.3236E-01
-6.09520E-06,2.3236E-01
-6.09480E-06,2.3432E-01
-6.09440E-06,2.3432E-01
-6.09400E-06,2.3041E-01
-6.09360E-06,2.3432E-01
-6.09320E-06,2.3236E-01
-6.09280E-06,2.3139E-01
-6.09240E-06,2.3334E-01
-6.09200E-06,2.3334E-01
-6.09160E-06,2.3529E-01
-6.09120E-06,2.3041E-01
-6.09080E-06,2.3041E-01
-6.09040E-06,2.3334E-01
-6.09000E-06,2.3236E-01
-6.08960E-06,2.3627E-01
-6.08920E-06,2.3432E-01
-6.08880E-06,2.3139E-01
-6.08840E-06,2.3139E-01
-6.08800E-06,2.3432E-01
-6.08760E-06,2.3334E-01
-6.08720E-06,2.3139E-01
-6.08680E-06,2.3139E-01
-6.08640E-06,2.3432E-01
-6.08600E-06,2.3334E-01
-6.08560E-06,2.3041E-01
-6.08520E-06,2.3432E-01
-6.08480E-06,2.3334E-01
-6.08440E-06,2.3725E-01
-6.08400E-06,2.3236E-01
-6.08360E-06,2.3236E-01
-6.08320E-06,2.3432E-01
-6.08280E-06,2.3432E-01
-6.08240E-06,2.3432E-01
-6.08200E-06,2.3236E-01
-6.08160E-06,2.3432E-01
-6.08120E-06,2.3334E-01
-6.08080E-06,2.3334E-01
-6.08040E-06,2.3334E-01
-6.08000E-06,2.3236E-01
-6.07960E-06,2.3334E-01
-6.07920E-06,2.3236E-01
-6.07880E-06,2.3627E-01
-6.07840E-06,2.3139E-01
-6.07800E-06,2.3139E-01
-6.07760E-06,2.3432E-01
-6.07720E-06,2.3627E-01
-6.07680E-06,2.3432E-01
-6.07640E-06,2.3041E-01
-6.07600E-06,2.3432E-01
-6.07560E-06,2.3236E-01
-6.07520E-06,2.3432E-01
-6.07480E-06,2.3334E-01
-6.07440E-06,2.3139E-01
-6.07400E-06,2.3920E-01
-6.07360E-06,2.3041E-01
-6.07320E-06,2.3432E-01
-6.07280E-06,2.2943E-01
-6.07240E-06,2.3139E-01
-6.07200E-06,2.3334E-01
-6.07160E-06,2.3334E-01
-6.07120E-06,2.3529E-01
-6.07080E-06,2.3041E-01
-6.07040E-06,2.3236E-01
-6.07000E-06,2.2846E-01
-6.06960E-06,2.3432E-01
-6.06920E-06,2.3334E-01
-6.06880E-06,2.3236E-01
-6.06840E-06,2.3334E-01
-6.06800E-06,2.3432E-01
-6.06760E-06,2.3236E-01
-6.06720E-06,2.3334E-01
-6.06680E-06,2.3236E-01
-6.06640E-06,2.3432E-01
-6.06600E-06,2.3334E-01
-6.06560E-06,2.3236E-01
-6.06520E-06,2.3334E-01
-6.06480E-06,2.3334E-01
-6.06440E-06,2.3432E-01
-6.06400E-06,2.3432E-01
-6.06360E-06,2.3627E-01
-6.06320E-06,2.3139E-01
-6.06280E-06,2.3334E-01
-6.06240E-06,2.3139E-01
-6.06200E-06,2.3334E-01
-6.06160E-06,2.3432E-01
-6.06120E-06,2.3139E-01
-6.06080E-06,2.3139E-01
-6.06040E-06,2.3529E-01
-6.06000E-06,2.2846E-01
-6.05960E-06,2.3432E-01
-6.05920E-06,2.3432E-01
-6.05880E-06,2.3334E-01
-6.05840E-06,2.3139E-01
-6.05800E-06,2.3432E-01
-6.05760E-06,2.3334E-01
-6.05720E-06,2.3041E-01
-6.05680E-06,2.3432E-01
-6.05640E-06,2.3627E-01
-6.05600E-06,2.3334E-01
-6.05560E-06,2.3529E-01
-6.05520E-06,2.3432E-01
-6.05480E-06,2.3432E-01
-6.05440E-06,2.3334E-01
-6.05400E-06,2.3432E-01
-6.05360E-06,2.3529E-01
-6.05320E-06,2.3236E-01
-6.05280E-06,2.3334E-01
-6.05240E-06,2.3334E-01
-6.05200E-06,2.3627E-01
-6.05160E-06,2.3334E-01
-6.05120E-06,2.3236E-01
-6.05080E-06,2.3432E-01
-6.05040E-06,2.3236E-01
-6.05000E-06,2.3139E-01
-6.04960E-06,2.3432E-01
-6.04920E-06,2.3236E-01
-6.04880E-06,2.3139E-01
-6.04840E-06,2.3432E-01
-6.04800E-06,2.3432E-01
-6.04760E-06,2.3529E-01
-6.04720E-06,2.3139E-01
-6.04680E-06,2.3236E-01
-6.04640E-06,2.3334E-01
-6.04600E-06,2.3432E-01
-6.04560E-06,2.3627E-01
-6.04520E-06,2.3139E-01
-6.04480E-06,2.3432E-01
-6.04440E-06,2.3041E-01
-6.04400E-06,2.3432E-01
-6.04360E-06,2.3139E-01
-6.04320E-06,2.3334E-01
-6.04280E-06,2.3139E-01
-6.04240E-06,2.3432E-01
-6.04200E-06,2.3432E-01
-6.04160E-06,2.3334E-01
-6.04120E-06,2.3334E-01
-6.04080E-06,2.3139E-01
-6.04040E-06,2.3432E-01
-6.04000E-06,2.3041E-01
-6.03960E-06,2.3627E-01
-6.03920E-06,2.3725E-01
-6.03880E-06,2.3529E-01
-6.03840E-06,2.3334E-01
-6.03800E-06,2.3041E-01
-6.03760E-06,2.3041E-01
-6.03720E-06,2.3236E-01
-6.03680E-06,2.3432E-01
-6.03640E-06,2.3529E-01
-6.03600E-06,2.3236E-01
-6.03560E-06,2.3334E-01
-6.03520E-06,2.3627E-01
-6.03480E-06,2.3041E-01
-6.03440E-06,2.3432E-01
-6.03400E-06,2.3432E-01
-6.03360E-06,2.3334E-01
-6.03320E-06,2.3334E-01
-6.03280E-06,2.3432E-01
-6.03240E-06,2.3334E-01
-6.03200E-06,2.3529E-01
-6.03160E-06,2.3432E-01
-6.03120E-06,2.3432E-01
-6.03080E-06,2.3334E-01
-6.03040E-06,2.3139E-01
-6.03000E-06,2.3529E-01
-6.02960E-06,2.3236E-01
-6.02920E-06,2.3236E-01
-6.02880E-06,2.3334E-01
-6.02840E-06,2.3432E-01
-6.02800E-06,2.3139E-01
